Domain_Code,Domain,Area_Code_M49,Area,Element_Code,Element,Item_Code_CPC,Item,Year_Code,Year,Unit,Value,Flag,Flag_Description,Note,Value_winsor,YoY_Return,Log_Return,Value_lag1,Value_lag2,Value_lag3,Vol_3y,Vol_5y
QCL,Crops and livestock products,392,Japan,5412,Yield,1211.0,Asparagus,2004,2004,kg/ha,4490.7,A,Official figure,No additional notes,4490.7,-0.30699074074074073,-0.3667119187570206,6480.0,28100.0,4404.4,3.4246740355949115,2.6581148051154266
QCL,Crops and livestock products,392,Japan,5510,Production,1211.0,Asparagus,2004,2004,t,29100.0,A,Official figure,No additional notes,29100.0,5.480058788162202,1.868729582570284,4490.7,6480.0,28100.0,3.4823228080834174,3.2328789738113892
QCL,Crops and livestock products,392,Japan,5312,Area harvested,1211.0,Asparagus,2005,2005,ha,6370.0,A,Official figure,No additional notes,6370.0,-0.7810996563573883,-1.5191387045933749,29100.0,4490.7,6480.0,3.4860872665789144,3.3189753880305037
QCL,Crops and livestock products,392,Japan,5412,Yield,1211.0,Asparagus,2005,2005,kg/ha,4442.7,A,Official figure,No additional notes,4442.7,-0.30255886970172685,-0.3603371698546417,6370.0,29100.0,4490.7,3.484962298430971,2.7025180671012814
QCL,Crops and livestock products,392,Japan,5510,Production,1211.0,Asparagus,2005,2005,t,28300.0,A,Official figure,No additional notes,28300.0,5.370000225088347,1.8515995049197616,4442.7,6370.0,29100.0,3.4215726822593413,3.231399156967875
QCL,Crops and livestock products,392,Japan,5312,Area harvested,1211.0,Asparagus,2006,2006,ha,6380.0,A,Official figure,No additional notes,6380.0,-0.7745583038869258,-1.4896937072924936,28300.0,4442.7,6370.0,3.4194616941306095,3.3165833578469277
QCL,Crops and livestock products,392,Japan,5412,Yield,1211.0,Asparagus,2006,2006,kg/ha,4420.1,A,Official figure,No additional notes,4420.1,-0.30719435736677114,-0.36700577708863125,6380.0,28300.0,4442.7,3.420637535644668,2.654194403173855
QCL,Crops and livestock products,392,Japan,5510,Production,1211.0,Asparagus,2006,2006,t,28200.0,A,Official figure,No additional notes,28200.0,5.379946155064364,1.8531596576760005,4420.1,6380.0,28300.0,3.426366428202857,3.2024814844154195
QCL,Crops and livestock products,392,Japan,5312,Area harvested,1211.0,Asparagus,2007,2007,ha,6530.0,A,Official figure,No additional notes,6530.0,-0.7684397163120568,-1.4629150346557283,28200.0,4420.1,6380.0,3.4243968644766527,3.287263577979873
QCL,Crops and livestock products,392,Japan,5412,Yield,1211.0,Asparagus,2007,2007,kg/ha,4762.6,A,Official figure,No additional notes,4762.6,-0.2706584992343032,-0.315613205680634,6530.0,28200.0,4420.1,3.415156607502266,2.6541262585341805
QCL,Crops and livestock products,392,Japan,5510,Production,1211.0,Asparagus,2007,2007,t,31100.0,A,Official figure,No additional notes,31100.0,5.530046613194473,1.8764140815774828,4762.6,6530.0,28200.0,3.501592399285725,3.240003390592975
QCL,Crops and livestock products,392,Japan,5312,Area harvested,1211.0,Asparagus,2008,2008,ha,6540.0,A,Official figure,No additional notes,6540.0,-0.7897106109324759,-1.559270653716081,31100.0,4762.6,6530.0,3.508487952283728,3.3286278812913195
QCL,Crops and livestock products,392,Japan,5412,Yield,1211.0,Asparagus,2008,2008,kg/ha,4709.5,A,Official figure,No additional notes,4709.5,-0.27989296636085625,-0.32835542018837255,6540.0,31100.0,4762.6,3.510808152944866,2.720571355919612
QCL,Crops and livestock products,392,Japan,5510,Production,1211.0,Asparagus,2008,2008,t,30800.0,A,Official figure,No additional notes,30800.0,5.5399723962204055,1.877932944698794,4709.5,6540.0,31100.0,3.5165237057907435,3.28307457443551
QCL,Crops and livestock products,392,Japan,5312,Area harvested,1211.0,Asparagus,2009,2009,ha,6510.0,A,Official figure,No additional notes,6510.0,-0.7886363636363636,-1.5541752337590506,30800.0,4709.5,6540.0,3.5161755151058736,3.377323837351053
QCL,Crops and livestock products,392,Japan,5412,Yield,1211.0,Asparagus,2009,2009,kg/ha,4777.3,A,Official figure,No additional notes,4777.3,-0.2661597542242703,-0.30946392286346813,6510.0,30800.0,4709.5,3.512725465863267,2.727308106269162
QCL,Crops and livestock products,392,Japan,5510,Production,1211.0,Asparagus,2009,2009,t,31100.0,A,Official figure,No additional notes,31100.0,5.509953320913486,1.8733322858281787,4777.3,6510.0,30800.0,3.4954421770470816,3.2766157687570563
QCL,Crops and livestock products,392,Japan,5312,Area harvested,1211.0,Asparagus,2010,2010,ha,6490.0,A,Official figure,No additional notes,6490.0,-0.7913183279742766,-1.5669452884691901,31100.0,4777.3,6510.0,3.4963146830493095,3.3700083230979523
QCL,Crops and livestock products,392,Japan,5412,Yield,1211.0,Asparagus,2010,2010,kg/ha,4838.2,A,Official figure,No additional notes,4838.2,-0.2545146379044685,-0.2937197799861677,6490.0,31100.0,4777.3,3.493405059131374,2.7119475462166918
QCL,Crops and livestock products,392,Japan,5510,Production,1211.0,Asparagus,2010,2010,t,31400.0,A,Official figure,No additional notes,31400.0,5.4900169484519035,1.8702651421843766,4838.2,6490.0,31100.0,3.4819289242983924,3.259228946614394
QCL,Crops and livestock products,392,Japan,5312,Area harvested,1211.0,Asparagus,2011,2011,ha,6290.0,A,Official figure,No additional notes,6290.0,-0.7996815286624204,-1.6078468222018585,31400.0,4838.2,6490.0,3.4846606008438124,3.3566915456544293
QCL,Crops and livestock products,392,Japan,5412,Yield,1211.0,Asparagus,2011,2011,kg/ha,4578.7,A,Official figure,No additional notes,4578.7,-0.272066772655008,-0.31754595567200594,6290.0,31400.0,4838.2,3.489037428690427,2.7050921833927495
QCL,Crops and livestock products,392,Japan,5510,Production,1211.0,Asparagus,2011,2011,t,28800.0,A,Official figure,No additional notes,28800.0,5.289994976740123,1.838960272101557,4578.7,6290.0,31400.0,3.3738965646882955,3.2026531012292385
QCL,Crops and livestock products,392,Japan,5312,Area harvested,1211.0,Asparagus,2012,2012,ha,6030.0,A,Official figure,No additional notes,6030.0,-0.790625,-1.5636283764028063,28800.0,4578.7,6290.0,3.370938861325398,3.299927120017677
QCL,Crops and livestock products,392,Japan,5412,Yield,1211.0,Asparagus,2012,2012,kg/ha,4743.0,A,Official figure,No additional notes,4743.0,-0.21343283582089556,-0.24007716384364947,6030.0,28800.0,4578.7,3.3564566580445847,2.612565655476906
QCL,Crops and livestock products,392,Japan,5510,Production,1211.0,Asparagus,2012,2012,t,28600.0,A,Official figure,No additional notes,28600.0,5.0299388572633354,1.7967368709303622,4743.0,6030.0,28800.0,3.206895204677648,3.0688310679723925
QCL,Crops and livestock products,392,Japan,5312,Area harvested,1211.0,Asparagus,2013,2013,ha,5770.0,A,Official figure,No additional notes,5770.0,-0.7982517482517483,-1.600734637305799,28600.0,4743.0,6030.0,3.2094331172962627,3.16552501604236
QCL,Crops and livestock products,392,Japan,5412,Yield,1211.0,Asparagus,2013,2013,kg/ha,5130.0,A,Official figure,No additional notes,5130.0,-0.1109185441941074,-0.11756642133732997,5770.0,28600.0,4743.0,3.185086275381306,2.483830610026767
QCL,Crops and livestock products,392,Japan,5510,Production,1211.0,Asparagus,2013,2013,t,29600.0,A,Official figure,No additional notes,29600.0,4.769980506822612,1.7526687021473364,5130.0,5770.0,28600.0,3.0359186672808645,2.9021069020813415
QCL,Crops and livestock products,392,Japan,5312,Area harvested,1211.0,Asparagus,2014,2014,ha,5580.0,A,Official figure,No additional notes,5580.0,-0.8114864864864865,-1.668585584936795,29600.0,5130.0,5770.0,3.0404699413463088,3.012728051703555
QCL,Crops and livestock products,392,Japan,5412,Yield,1211.0,Asparagus,2014,2014,kg/ha,5107.5,A,Official figure,No additional notes,5107.5,-0.08467741935483875,-0.08847872868357953,5580.0,29600.0,5130.0,3.0344886663615775,2.361677256139005
QCL,Crops and livestock products,392,Japan,5510,Production,1211.0,Asparagus,2014,2014,t,28500.0,A,Official figure,No additional notes,28500.0,4.580029368575624,1.7191940395649647,5107.5,5580.0,29600.0,2.9256390769885763,2.7607281174562295
QCL,Crops and livestock products,392,Japan,5312,Area harvested,1211.0,Asparagus,2015,2015,ha,5470.0,A,Official figure,No additional notes,5470.0,-0.8080701754385965,-1.650625470840715,28500.0,5107.5,5580.0,2.92444875697755,2.887752739814731
QCL,Crops and livestock products,392,Japan,5412,Yield,1211.0,Asparagus,2015,2015,kg/ha,5319.9,A,Official figure,No additional notes,5319.9,-0.027440585009140817,-0.027824110249483752,5470.0,28500.0,5107.5,2.911751438191073,2.2734035658152196
QCL,Crops and livestock products,392,Japan,5510,Production,1211.0,Asparagus,2015,2015,t,29100.0,A,Official figure,No additional notes,29100.0,4.470027632098348,1.6992836679930408,5319.9,5470.0,28500.0,2.8488278112021312,2.6645714148484654
QCL,Crops and livestock products,392,Japan,5312,Area harvested,1211.0,Asparagus,2016,2016,ha,5420.0,A,Official figure,No additional notes,5420.0,-0.813745704467354,-1.680642358725892,29100.0,5319.9,5470.0,2.850840717431171,2.798185072524612
QCL,Crops and livestock products,392,Japan,5412,Yield,1211.0,Asparagus,2016,2016,kg/ha,5608.9,A,Official figure,No additional notes,5608.9,0.03485239852398525,0.03425880642578871,5420.0,29100.0,5319.9,2.8375211824499957,2.2173946985865647
QCL,Crops and livestock products,392,Japan,5510,Production,1211.0,Asparagus,2016,2016,t,30400.0,A,Official figure,No additional notes,30400.0,4.419957567437466,1.6900879865348326,5608.9,5420.0,29100.0,2.8089415569207863,2.603470663405195
QCL,Crops and livestock products,392,Japan,5312,Area harvested,1211.0,Asparagus,2017,2017,ha,5330.0,A,Official figure,No additional notes,5330.0,-0.8246710526315789,-1.7410913702344226,30400.0,5608.9,5420.0,2.8128887070046398,2.749648400324263
QCL,Crops and livestock products,392,Japan,5412,Yield,1211.0,Asparagus,2017,2017,kg/ha,4915.6,A,Official figure,No additional notes,4915.6,-0.07774859287054403,-0.080937416749448,5330.0,30400.0,5608.9,2.837057843019049,2.201449180731361
QCL,Crops and livestock products,392,Japan,5510,Production,1211.0,Asparagus,2017,2017,t,26200.0,A,Official figure,No additional notes,26200.0,4.32996989177313,1.673345589338746,4915.6,5330.0,30400.0,2.7855639365156217,2.5761252656342797
QCL,Crops and livestock products,392,Japan,5312,Area harvested,1211.0,Asparagus,2018,2018,ha,5170.0,A,Official figure,No additional notes,5170.0,-0.8026717557251908,-1.6228867222467132,26200.0,4915.6,5330.0,2.777814072058188,2.7243866411092434
QCL,Crops and livestock products,392,Japan,5412,Yield,1211.0,Asparagus,2018,2018,kg/ha,5125.7,A,Official figure,No additional notes,5125.7,-0.008568665377176043,-0.008605587456944067,5170.0,26200.0,4915.6,2.762774173773358,2.1627590250426736
QCL,Crops and livestock products,392,Japan,5510,Production,1211.0,Asparagus,2018,2018,t,26500.0,A,Official figure,No additional notes,26500.0,4.1700255574848315,1.6428776319287828,5125.7,5170.0,26200.0,2.6714218425850227,2.510112987263075
QCL,Crops and livestock products,392,Japan,5312,Area harvested,1211.0,Asparagus,2019,2019,ha,5010.0,A,Official figure,No additional notes,5010.0,-0.8109433962264151,-1.6657088178954031,26500.0,5125.7,5170.0,2.674400450128228,2.644753221296221
QCL,Crops and livestock products,392,Japan,5412,Yield,1211.0,Asparagus,2019,2019,kg/ha,5349.3,A,Official figure,No additional notes,5349.3,0.06772455089820362,0.0655297961292002,5010.0,26500.0,5125.7,2.6586645340527992,2.0813125018626897
QCL,Crops and livestock products,392,Japan,5510,Production,1211.0,Asparagus,2019,2019,t,26800.0,A,Official figure,No additional notes,26800.0,4.0100013085824315,1.6114361762908374,5349.3,5010.0,26500.0,2.5675900257604045,2.4029026660220767
QCL,Crops and livestock products,392,Japan,5312,Area harvested,1211.0,Asparagus,2020,2020,ha,4800.0,A,Official figure,No additional notes,4800.0,-0.8208955223880597,-1.719785969602966,26800.0,5349.3,5010.0,2.5712758136868312,2.552021222144149
QCL,Crops and livestock products,392,Japan,5412,Yield,1211.0,Asparagus,2020,2020,kg/ha,5562.5,A,Official figure,No additional notes,5562.5,0.15885416666666674,0.14743172957851342,4800.0,26800.0,5349.3,2.553716505845598,2.0052739936851682
QCL,Crops and livestock products,392,Japan,5510,Production,1211.0,Asparagus,2020,2020,t,26700.0,A,Official figure,No additional notes,26700.0,3.8,1.5686159179138452,5562.5,4800.0,26800.0,2.434834965715661,2.280930766321779
QCL,Crops and livestock products,392,Japan,5312,Area harvested,1211.0,Asparagus,2021,2021,ha,4500.0,A,Official figure,No additional notes,4500.0,-0.8314606741573034,-1.78058616862993,26700.0,5562.5,4800.0,2.4388895847571863,2.4459614073444658
QCL,Crops and livestock products,392,Japan,5412,Yield,1211.0,Asparagus,2021,2021,kg/ha,5600.0,A,Official figure,No additional notes,5600.0,0.24444444444444446,0.2186892009648295,4500.0,26700.0,5562.5,2.423839072942653,1.9097593175285128
QCL,Crops and livestock products,392,Japan,5510,Production,1211.0,Asparagus,2021,2021,t,25200.0,A,Official figure,No additional notes,25200.0,3.5,1.5040773967762742,5600.0,4500.0,26700.0,2.255281407840763,2.1226094352827665
QCL,Crops and livestock products,392,Japan,5312,Area harvested,1211.0,Asparagus,2022,2022,ha,4360.0,A,Official figure,No additional notes,4360.0,-0.8269841269841269,-1.7543719371564344,25200.0,5600.0,4500.0,2.253493317575872,2.3019548391085407
QCL,Crops and livestock products,392,Japan,5412,Yield,1211.0,Asparagus,2022,2022,kg/ha,5963.3,A,Official figure,No additional notes,5963.3,0.36772935779816507,0.31315196176102805,4360.0,25200.0,5600.0,2.23462343292603,1.7759539946034086
QCL,Crops and livestock products,392,Japan,5510,Production,1211.0,Asparagus,2022,2022,t,26000.0,A,Official figure,No additional notes,26000.0,3.3600020123086205,1.472472518899511,5963.3,4360.0,25200.0,2.1568452610344755,1.9740047950236772
QCL,Crops and livestock products,392,Japan,5312,Area harvested,1211.0,Asparagus,2023,2023,ha,4466.0,I,Imputed value,No additional notes,4466.0,-0.8282307692307692,-1.7616033846035157,26000.0,5963.3,4360.0,2.157363749916985,2.1699147095179576
QCL,Crops and livestock products,392,Japan,5412,Yield,1211.0,Asparagus,2023,2023,kg/ha,5969.5,E,Estimated value,No additional notes,5969.5,0.33665472458575896,0.29017001838533973,4466.0,26000.0,5963.3,2.1617462412074215,1.7137110745076007
QCL,Crops and livestock products,392,Japan,5510,Production,1211.0,Asparagus,2023,2023,t,26658.94,I,Imputed value,No additional notes,26658.94,3.4658581120696876,1.4964613822168242,5969.5,4466.0,26000.0,2.220663240807921,1.9527491290242533
QCL,Crops and livestock products,392,Japan,5312,Area harvested,1243.0,"Broad beans and horse beans, green",2004,2004,ha,2770.0,A,Official figure,No additional notes,2770.0,-0.8648780487804878,-2.0015775659451154,20500.0,8266.1,2480.0,1.6559670621634968,1.6559670621634968
QCL,Crops and livestock products,392,Japan,5412,Yield,1243.0,"Broad beans and horse beans, green",2004,2004,kg/ha,8411.6,A,Official figure,No additional notes,8411.6,2.036678700361011,1.1107643853931648,2770.0,20500.0,8266.1,1.539881324385253,1.4511530750771444
QCL,Crops and livestock products,392,Japan,5510,Production,1243.0,"Broad beans and horse beans, green",2004,2004,t,23300.0,A,Official figure,No additional notes,23300.0,1.7699843073850396,1.018841654979243,8411.6,2770.0,20500.0,1.6037797595925052,1.2783770782240302
QCL,Crops and livestock products,392,Japan,5312,Area harvested,1243.0,"Broad beans and horse beans, green",2005,2005,ha,2710.0,A,Official figure,No additional notes,2710.0,-0.8836909871244635,-2.151504725680045,23300.0,8411.6,2770.0,1.614604057734637,1.4574481158458548
QCL,Crops and livestock products,392,Japan,5412,Yield,1243.0,"Broad beans and horse beans, green",2005,2005,kg/ha,8487.1,A,Official figure,No additional notes,8487.1,2.1317712177121773,1.1415987287530376,2710.0,23300.0,8411.6,1.6465061314782286,1.5687003251275293
QCL,Crops and livestock products,392,Japan,5510,Production,1243.0,"Broad beans and horse beans, green",2005,2005,t,23000.0,A,Official figure,No additional notes,23000.0,1.709995169139046,0.9969468522845026,8487.1,2710.0,23300.0,1.6328969768043746,1.262736036990303
QCL,Crops and livestock products,392,Japan,5312,Area harvested,1243.0,"Broad beans and horse beans, green",2006,2006,ha,2540.0,A,Official figure,No additional notes,2540.0,-0.8895652173913043,-2.2033301348987044,23000.0,8487.1,2710.0,1.6362601205417393,1.5187827773194524
QCL,Crops and livestock products,392,Japan,5412,Yield,1243.0,"Broad beans and horse beans, green",2006,2006,kg/ha,7992.1,A,Official figure,No additional notes,7992.1,2.146496062992126,1.146289472750039,2540.0,23000.0,8487.1,1.6414381566071785,1.588628170676903
QCL,Crops and livestock products,392,Japan,5510,Production,1243.0,"Broad beans and horse beans, green",2006,2006,t,20300.0,A,Official figure,No additional notes,20300.0,1.540008258154928,0.9321673322672576,7992.1,2540.0,23000.0,1.6066695796345056,1.2673246372339264
QCL,Crops and livestock products,392,Japan,5312,Area harvested,1243.0,"Broad beans and horse beans, green",2007,2007,ha,2520.0,A,Official figure,No additional notes,2520.0,-0.8758620689655172,-2.0863619845244097,20300.0,7992.1,2540.0,1.5989009544417159,1.4853179652788469
QCL,Crops and livestock products,392,Japan,5412,Yield,1243.0,"Broad beans and horse beans, green",2007,2007,kg/ha,8531.7,A,Official figure,No additional notes,8531.7,2.3855952380952385,1.2195297367235611,2520.0,20300.0,7992.1,1.692559725380743,1.6216589384242948
QCL,Crops and livestock products,392,Japan,5510,Production,1243.0,"Broad beans and horse beans, green",2007,2007,t,21500.0,A,Official figure,No additional notes,21500.0,1.5200135963524266,0.924264296886724,8531.7,2520.0,20300.0,1.6895046388396844,1.2967368072268903
QCL,Crops and livestock products,392,Japan,5312,Area harvested,1243.0,"Broad beans and horse beans, green",2008,2008,ha,2450.0,A,Official figure,No additional notes,2450.0,-0.8860465116279069,-2.171964910576981,21500.0,8531.7,2520.0,1.6951891025422523,1.517514622057648
QCL,Crops and livestock products,392,Japan,5412,Yield,1243.0,"Broad beans and horse beans, green",2008,2008,kg/ha,8612.2,A,Official figure,No additional notes,8612.2,2.515183673469388,1.2570917780850184,2450.0,21500.0,8531.7,1.7487069269234479,1.6984425056041441
QCL,Crops and livestock products,392,Japan,5510,Production,1243.0,"Broad beans and horse beans, green",2008,2008,t,21100.0,A,Official figure,No additional notes,21100.0,1.450012772578435,0.8960932378403669,8612.2,2450.0,21500.0,1.7397379495893661,1.3654577377165462
QCL,Crops and livestock products,392,Japan,5312,Area harvested,1243.0,"Broad beans and horse beans, green",2009,2009,ha,2340.0,A,Official figure,No additional notes,2340.0,-0.8890995260663507,-2.1991221111124104,21100.0,8612.2,2450.0,1.7414160663292306,1.5461071024706035
QCL,Crops and livestock products,392,Japan,5412,Yield,1243.0,"Broad beans and horse beans, green",2009,2009,kg/ha,8376.1,A,Official figure,No additional notes,8376.1,2.579529914529915,1.2752314830003284,2340.0,21100.0,8612.2,1.7691168001672803,1.739860456230198
QCL,Crops and livestock products,392,Japan,5510,Production,1243.0,"Broad beans and horse beans, green",2009,2009,t,19600.0,A,Official figure,No additional notes,19600.0,1.3399911653394776,0.8501471538665332,8376.1,2340.0,21100.0,1.757682746185437,1.4036559926094834
QCL,Crops and livestock products,392,Japan,5312,Area harvested,1243.0,"Broad beans and horse beans, green",2010,2010,ha,2290.0,A,Official figure,No additional notes,2290.0,-0.8831632653061224,-2.146977748670323,19600.0,8376.1,2340.0,1.7544759897153892,1.5438985917840184
QCL,Crops and livestock products,392,Japan,5412,Yield,1243.0,"Broad beans and horse beans, green",2010,2010,kg/ha,8559.0,A,Official figure,No additional notes,8559.0,2.7375545851528384,1.3184315433333245,2290.0,19600.0,8376.1,1.8259790473209954,1.784793543253434
QCL,Crops and livestock products,392,Japan,5510,Production,1243.0,"Broad beans and horse beans, green",2010,2010,t,19600.0,A,Official figure,No additional notes,19600.0,1.289987148031312,0.828546205336999,8559.0,2290.0,19600.0,1.82243573076599,1.449833166348182
QCL,Crops and livestock products,392,Japan,5312,Area harvested,1243.0,"Broad beans and horse beans, green",2011,2011,ha,2230.0,A,Official figure,No additional notes,2230.0,-0.8862244897959184,-2.1735279807644443,19600.0,8559.0,2290.0,1.824057901203876,1.57558638106894
QCL,Crops and livestock products,392,Japan,5412,Yield,1243.0,"Broad beans and horse beans, green",2011,2011,kg/ha,8340.8,A,Official figure,No additional notes,8340.8,2.7402690582959637,1.319157549559677,2230.0,19600.0,8559.0,1.8253159619733244,1.8190568359738477
QCL,Crops and livestock products,392,Japan,5510,Production,1243.0,"Broad beans and horse beans, green",2011,2011,t,18600.0,A,Official figure,No additional notes,18600.0,1.23000191828122,0.8020024456874512,8340.8,2230.0,19600.0,1.82166482916056,1.4875069431645422
QCL,Crops and livestock products,392,Japan,5312,Area harvested,1243.0,"Broad beans and horse beans, green",2012,2012,ha,2150.0,A,Official figure,No additional notes,2150.0,-0.8844086021505376,-2.1576937385795842,18600.0,8340.8,2230.0,1.8207107964226834,1.5666941246675496
QCL,Crops and livestock products,392,Japan,5412,Yield,1243.0,"Broad beans and horse beans, green",2012,2012,kg/ha,7953.5,A,Official figure,No additional notes,7953.5,2.6993023255813955,1.3081442412167068,2150.0,18600.0,8340.8,1.801506755901396,1.8080280460313745
QCL,Crops and livestock products,392,Japan,5510,Production,1243.0,"Broad beans and horse beans, green",2012,2012,t,17100.0,A,Official figure,No additional notes,17100.0,1.1499968567297416,0.765466380152336,7953.5,2150.0,18600.0,1.7973191619965923,1.4826994349963758
QCL,Crops and livestock products,392,Japan,5312,Area harvested,1243.0,"Broad beans and horse beans, green",2013,2013,ha,2110.0,A,Official figure,No additional notes,2110.0,-0.876608187134503,-2.092390516020639,17100.0,7953.5,2150.0,1.7932564156947233,1.5386722254535194
QCL,Crops and livestock products,392,Japan,5412,Yield,1243.0,"Broad beans and horse beans, green",2013,2013,kg/ha,8530.8,A,Official figure,No additional notes,8530.8,3.0430331753554496,1.3969951962533254,2110.0,17100.0,7953.5,1.9601999437979984,1.881044744187218
QCL,Crops and livestock products,392,Japan,5510,Production,1243.0,"Broad beans and horse beans, green",2013,2013,t,18000.0,A,Official figure,No additional notes,18000.0,1.1100014066676045,0.7466886141548641,8530.8,2110.0,17100.0,1.9598817101841086,1.5583748552526622
QCL,Crops and livestock products,392,Japan,5312,Area harvested,1243.0,"Broad beans and horse beans, green",2014,2014,ha,2070.0,A,Official figure,No additional notes,2070.0,-0.885,-2.162823150618887,18000.0,8530.8,2110.0,1.9640980567024986,1.6475723037196968
QCL,Crops and livestock products,392,Japan,5412,Yield,1243.0,"Broad beans and horse beans, green",2014,2014,kg/ha,8599.0,A,Official figure,No additional notes,8599.0,3.154106280193237,1.4240973101514818,2070.0,18000.0,8530.8,2.019602885440329,1.9900766844234692
QCL,Crops and livestock products,392,Japan,5510,Production,1243.0,"Broad beans and horse beans, green",2014,2014,t,17800.0,A,Official figure,No additional notes,17800.0,1.0700081404814514,0.72755253986928,8599.0,2070.0,18000.0,2.019896920967145,1.6689984677078022
QCL,Crops and livestock products,392,Japan,5312,Area harvested,1243.0,"Broad beans and horse beans, green",2015,2015,ha,2020.0,A,Official figure,No additional notes,2020.0,-0.8865168539325843,-2.1761009458849263,17800.0,8599.0,2070.0,2.020647190949381,1.6849422700417358
QCL,Crops and livestock products,392,Japan,5412,Yield,1243.0,"Broad beans and horse beans, green",2015,2015,kg/ha,8316.8,A,Official figure,No additional notes,8316.8,3.1172277227722764,1.4151800540519204,2020.0,17800.0,8599.0,2.0020434855157134,2.0109052006642902
QCL,Crops and livestock products,392,Japan,5510,Production,1243.0,"Broad beans and horse beans, green",2015,2015,t,16800.0,A,Official figure,No additional notes,16800.0,1.0200076952674109,0.7031013209441793,8316.8,2020.0,17800.0,2.0026290360408465,1.6927872521160119
QCL,Crops and livestock products,392,Japan,5312,Area harvested,1243.0,"Broad beans and horse beans, green",2016,2016,ha,1980.0,A,Official figure,No additional notes,1980.0,-0.8821428571428571,-2.138282041702769,16800.0,8316.8,2020.0,2.0004780096805574,1.6659650485719328
QCL,Crops and livestock products,392,Japan,5412,Yield,1243.0,"Broad beans and horse beans, green",2016,2016,kg/ha,7424.2,A,Official figure,No additional notes,7424.2,2.7495959595959594,1.321648090069762,1980.0,16800.0,8316.8,1.8165525554900774,1.9132925956378144
QCL,Crops and livestock products,392,Japan,5510,Production,1243.0,"Broad beans and horse beans, green",2016,2016,t,14700.0,A,Official figure,No additional notes,14700.0,0.9800113143503677,0.6831025590084847,7424.2,1980.0,16800.0,1.8160660234008583,1.6046178793674277
QCL,Crops and livestock products,392,Japan,5312,Area harvested,1243.0,"Broad beans and horse beans, green",2017,2017,ha,1900.0,A,Official figure,No additional notes,1900.0,-0.8707482993197279,-2.0459936076122958,14700.0,7424.2,1980.0,1.8103237978027127,1.5249117773563396
QCL,Crops and livestock products,392,Japan,5412,Yield,1243.0,"Broad beans and horse beans, green",2017,2017,kg/ha,8157.9,A,Official figure,No additional notes,8157.9,3.293631578947368,1.4571328967414934,1900.0,14700.0,7424.2,2.086472687210884,1.958939429132605
